Vote by county,Trump,Clinton,Party
Miami-Dade,333999,624146,democrat
Broward,260951,553320,democrat
Palm Beach,272402,374673,democrat
Hillsborough,266870,307896,democrat
Orange,195216,329894,democrat
Pinellas,239201,233701,republican
Duval,211672,205704,republican
Lee,191551,124908,republican
Brevard,181848,119679,republican
Polk,157430,117433,republican
Volusia,143007,109091,republican
Pasco,142101,90142,republican
Sarasota,124438,97870,republican
Seminole,109443,105914,republican
Manatee,101944,71224,republican
Marion,107833,62041,republican
Collier,105423,61085,republican
Lake,102188,62838,republican
Escambia,88808,57461,republican
Leon,53821,92068,democrat
St. Lucie,70289,66881,republican
Osceola,50301,85458,democrat
St. Johns,88684,43099,republican
Alachua,46834,75820,democrat
Clay,74963,27822,republican
Okaloosa,71893,23780,republican
Charlotte,60218,33445,republican
Hernando,58970,31795,republican
Santa Rosa,65339,18464,republican
Bay,62194,21797,republican
Martin,53204,30185,republican
Indian River,48620,29043,republican
Citrus,54456,22789,republican
Sumter,52730,22638,republican
Flagler,33850,22026,republican
Nassau,34266,10869,republican
Highlands,29565,14937,republican
Monroe,21904,18971,republican
Walton,25756,6876,republican
Putnam,22138,10094,republican
Columbia,20368,7601,republican
Gadsden,6728,15020,democrat
Jackson,14257,6397,republican
Levy,13775,5101,republican
Suwannee,14287,3964,republican
Wakulla,10512,4348,republican
Okeechobee,9356,3959,republican
Baker,10294,2112,republican
Bradford,8913,2924,republican
Washington,8637,2264,republican
Hendry,6195,4615,republican
DeSoto,6778,3781,republican
Taylor,6930,2152,republican
Holmes,7483,853,republican
Madison,4851,3526,republican
Gilchrist,6740,1458,republican
Jefferson,3930,3541,republican
Hardee,5242,2149,republican
Gulf,5329,1720,republican
Dixie,5822,1270,republican
Calhoun,4655,1241,republican
Franklin,4125,1744,republican
Union,4568,1014,republican
Hamilton,3443,1904,republican
Glades,2996,1271,republican
Lafayette,2809,518,republican
Liberty,2543,651,republican
